STD_CODE,REGIS_YEAR,REGIS_SEMESTER
6151500250,2564,2
6151500268,2561,1
6151500276,2561,1
6151500284,2561,1
6151500284,2563,2
6151500292,2561,1
6151500292,2566,2
6151500300,2561,1
6151500318,2561,1
6151500326,2561,1
6151500334,2561,1
6151500342,2561,1
6151500342,2565,2
6151500359,2561,1
6151500367,2561,1
6151500375,2561,1
6151500383,2561,1
6151500391,2561,1
6151500409,2561,1
6151590012,2561,1
6151590020,2561,1
6151590038,2561,1
6251000011,2564,1
6251000029,2566,2
6251000045,2566,1
6251000052,2564,1
6251000052,2567,2
6251000060,2562,2
6251000078,2567,1
6251000102,2565,1
6251000169,2563,2
6251000185,2566,2
6251000185,2567,2
6251000193,2562,2
6251000201,2563,2
6251000219,2564,1
6251000219,2564,2
6251000219,2565,2
6251000227,2564,1
6251000250,2565,2
6251000268,2564,1
6251000284,2562,2
6251000292,2562,2
6251000300,2564,1
6251000300,2566,2
6251000318,2567,2
6251000326,2566,2
6251000375,2564,2
6251000383,2562,2
6251000391,2562,2
6251000409,2565,2
6251000417,2562,2
6251000425,2567,1
6251000433,2564,1
6251000466,2562,2
6251000474,2562,2
6251000482,2562,2
6251000508,2564,2
6251000524,2562,2
6251000532,2563,1
6251000581,2564,2
6251000615,2562,2
6251000623,2566,1
6251000649,2565,2
6251000672,2562,2
6251000698,2566,2
6251000706,2566,2
6251000730,2562,2
6251000748,2562,2
6251000748,2563,2
6251000755,2562,2
6251000771,2565,2
6251000805,2564,2
6251000839,2565,1
6251000847,2565,2
6251000854,2562,2
6251000888,2566,1
6251000888,2567,1
6251000953,2564,2
6251000961,2565,2
6251000979,2562,2
6251000995,2562,2
6251001027,2564,1
6251001043,2566,2
6251001068,2563,2
6251001084,2566,1
6251001084,2567,1
6251001092,2562,2
6251001126,2565,2
6251001126,2566,1
6251001134,2564,2
6251001142,2562,2
6251001159,2562,2
6251001167,2565,2
6251001175,2562,2
6251001175,2563,2
6251001217,2562,2
6251001233,2566,2
6251001266,2562,2
6251001290,2562,2
6251001308,2567,2
6251001316,2565,1
6251001332,2566,2
6251001332,2567,2
6251090020,2563,2
6251090046,2562,2
6251090053,2562,2
6251090061,2564,2
6251090087,2562,2
6251090111,2563,1
6251090111,2564,2
6251090129,2563,2
6251090145,2562,2
6251090152,2562,2
6251090160,2562,2
6251090178,2562,2
6251090186,2562,2
6251090194,2562,2
6251090228,2563,2
6251090244,2562,2
6251090269,2562,2
6251090277,2562,2
6251090285,2564,2
6251500010,2562,1
6251500028,2562,1
6251500028,2566,2
6251500036,2562,1
6251500036,2564,2
6251500044,2562,1
6251500044,2567,1
6251500051,2562,1
6251500069,2562,1
6251500069,2565,2
6251500077,2562,1
6251500085,2562,1
6251500093,2562,1
6251500101,2562,1
6251500101,2563,2
6251500119,2562,1
6251500119,2563,2
6251500127,2562,1
6251500135,2562,1
6251500143,2562,1
6251500150,2562,1
6251500168,2562,1
6251500176,2562,1
6251500184,2562,1
6251500192,2562,1
6251500200,2562,1
6251500200,2565,2
6251500218,2562,1
6251500218,2565,2
6251500226,2562,1
6251500226,2565,1
6251500226,2567,2
6251500234,2562,1
6251500242,2562,1
6251500242,2566,1
6251500259,2562,1
6251500259,2565,2
6251500267,2562,1
6251500267,2563,2
6251500275,2562,1
6251500283,2562,1
6251500283,2566,2
6251590011,2562,1
6351000010,2567,1
6351000028,2567,2
6351000044,2567,2
6351000069,2567,2
6351000077,2566,2
6351000085,2563,2
6351000127,2564,2
6351000143,2564,2
6351000150,2567,2
6351000168,2565,2
6351000168,2566,1
6351000184,2563,2
6351000192,2567,2
6351000242,2563,2
6351000259,2566,2
6351000275,2567,2
6351000291,2567,2
6351000325,2563,2
6351000333,2563,2
6351000366,2563,2
6351000382,2564,2
6351000390,2563,2
6351000408,2567,2
6351000424,2567,2
6351000440,2563,2
6351000465,2567,1
6351000473,2563,2
6351000531,2563,2
6351000549,2563,2
6351000564,2563,2
6351000572,2563,2
6351000580,2566,2
6351000598,2567,2
6351000614,2563,2
6351000622,2567,2
6351000655,2567,2
6351000671,2563,2
6351000689,2563,2
6351000697,2564,2
6351000705,2563,2
6351000762,2567,2
6351000770,2563,2
6351000796,2567,2
6351000804,2565,1
6351000804,2567,2
6351000820,2566,2
6351000853,2564,2
6351090011,2565,2
6351090029,2563,2
6351090029,2565,2
6351090045,2564,1
6351090052,2563,2
6351090060,2563,2
6351090078,2563,2
6351500019,2563,1
6351500019,2567,2
6351500027,2563,1
6351500035,2563,1
6351500035,2566,2
6351500043,2563,1
6351500050,2563,1
6351500068,2563,1
6351500068,2566,2
6351500076,2563,1
6351500084,2563,1
6351500092,2563,1
6351500100,2563,1
6351500100,2564,2
6351500118,2563,1
6351500126,2563,1
6351500134,2563,1
6351500134,2567,2
6351500142,2563,1
6351500142,2564,2
6351500159,2563,1
6351500167,2563,1
6351500175,2563,1
6351500183,2563,1
6351500191,2563,1
6351500209,2563,1
6351500217,2563,1
6351500225,2563,1
6351500233,2563,1
6351500233,2566,2
6351500241,2563,1
6351500258,2563,1
6351500258,2565,1
6351500258,2565,2
6351500258,2566,2
6351500266,2563,1
6351500266,2567,2
6351500274,2563,1
6351500274,2565,2
6351500282,2563,1
6351500282,2565,2
6351590010,2563,1
6351600108,2565,1
6351600124,2563,2
6351600199,2563,2
6351600223,2566,2
6451000068,2564,2
6451000076,2564,2
6451000092,2566,2
6451000100,2564,2
6451000134,2564,2
6451000167,2564,2
6451000175,2564,2
6451000191,2564,2
6451000217,2564,2
6451000266,2566,2
6451000274,2564,2
6451000308,2564,2
6451000332,2564,2
6451000340,2564,2
6451000373,2564,2
6451000381,2564,2
6451000423,2564,2
6451000498,2564,2
6451000514,2564,2
6451000530,2564,2
6451000555,2565,2
6451000563,2565,2
6451000589,2564,2
6451000639,2564,2
6451000647,2565,2
6451000738,2565,2
6451000753,2567,2
6451000787,2564,2
6451000795,2564,2
6451000811,2567,2
6451000829,2566,2
6451000845,2565,2
6451000852,2566,2
6451000878,2565,2
6451000886,2567,2
6451000910,2565,2
6451000928,2565,2
6451000936,2564,2
6451000944,2564,2
6451001017,2564,2
6451001025,2564,2
6451001033,2565,2
6451001041,2564,2
6451001066,2565,2
6451001116,2564,2
6451001124,2564,2
6451090010,2564,2
6451090028,2564,2
6451090036,2564,2
6451500018,2564,1
6451500026,2564,1
6451500026,2565,2
6451500034,2564,1
6451500034,2565,1
6451500042,2564,1
6451500042,2565,1
6451500059,2564,1
6451500059,2566,2
6451500067,2564,1
6451500075,2564,1
6451500083,2564,1
6451500091,2564,1
6451500109,2564,1
6451500117,2564,1
6451500125,2564,1
6451500133,2564,1
6451500141,2564,1
6451500158,2564,1
6451500166,2564,1
6451500174,2564,1
6451500182,2564,1
6451500190,2564,1
6451500190,2565,1
6451500208,2564,1
6451500216,2564,1
6451500224,2564,1
6451500232,2564,1
